NFORM,CLANGUE,XLIB,DCREATION,DMAJ,XUSER,UPDATED_BY,MODULE_MF,SIGN_MF
FDAUT42,1,VALUATION GTI DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF98z38ted5xhuftx9ee6cafdom6sq
FDAUT42,2,VALUATION GTI DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF98z38ted5xhuftx9ee6cafdom6sq
FDAUT42,3,VALUATION GTI DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF98z38ted5xhuftx9ee6cafdom6sq
FDAUT42,4,VALUATION GTI DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF98z38ted5xhuftx9ee6cafdom6sq
FDAUT42,5,VALUATION GTI DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF98z38ted5xhuftx9ee6cafdom6sq
FDAUT43,1,VALUATION ACCOUNTS DEFINIT.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFvwxs05o10brcv2sx9navh220covt
FDAUT43,2,VALUATION ACCOUNTS DEFINIT.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFvwxs05o10brcv2sx9navh220covt
FDAUT43,3,VALUATION ACCOUNTS DEFINIT.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFvwxs05o10brcv2sx9navh220covt
FDAUT43,4,VALUATION ACCOUNTS DEFINIT.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFvwxs05o10brcv2sx9navh220covt
FDAUT43,5,VALUATION ACCOUNTS DEFINIT.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFvwxs05o10brcv2sx9navh220covt
FDAUT44,1,NAV ACCOUNTS LINKS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFztdh90v0htm1b85uumm5yk3y79m7
FDAUT44,2,NAV ACCOUNTS LINKS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFztdh90v0htm1b85uumm5yk3y79m7
FDAUT44,3,NAV ACCOUNTS LINKS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFztdh90v0htm1b85uumm5yk3y79m7
FDAUT44,4,NAV ACCOUNTS LINKS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFztdh90v0htm1b85uumm5yk3y79m7
FDAUT44,5,NAV ACCOUNTS LINKS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFztdh90v0htm1b85uumm5yk3y79m7
FDAUT45,2,MULTI-CHART ACCOUNTS LINKS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFuv5wfxsuoj7npmlo1n0a1vyy8f7f
